,LINK,CLASS,CONTENT
0,0,1,"huh, anyway check out this youtube channel: kobyoshi02.
"
1,0,1,"hey guys check out my new channel and our first vid this is us the monkeys! i'm the monkey in the white shirtplease leave a like comment and please subscribe!
"
2,1,1,"just for test i have to say murdevcom.
"
3,0,1,"me shaking my sexy ass on my channel enjoy.
"
4,0,1,"watchv=vtarggvgtwq check this out.
"
5,1,1,"hey, check out my new website! this site is about kids stuff. kidsmediausa com.
"
6,0,1,"subscribe to my channel.
"
7,0,0,"i turned it on mute as soon is i came on i just wanted to check the views.
"
8,0,1,"you should check my channel for funny videos.
"
9,0,1,"and you shouldd check my channel and tell me what i should do next.
"
10,0,1,"hey subscribe to me.
"
11,0,1,"once you have started reading do not stop. if you do not subscribe to me within one day you and you're entire family will die so if you want to stay alive subscribe right now.
"
12,1,1,"https//twittercom/gbphotographygb.
"
13,0,1,"subscribe like comment.
"
14,1,1,"please like. https//premiumeasypromosappcom/voteme/19924/616375350.
"
15,0,1,"hello! do you like gaming, art videos, scientific experiments, tutorials, lyrics videos, and much, much more of that? if you do please check out our channel and subscribe to it, we've just started, but soon we hope we will be able to cover all of our expectations. you can also check out what we've got so far.
"
16,0,0,"i'm only checking the views.
"
17,1,1,"http//wwwebaycom/itm/171183229277sspagename=strkmeselxittrksid=p3984m1555l2649.
"
18,1,1,"http//ubuntuonecom/40beuutvu2zkxk4utgpz8k.
"
19,0,1,"we are an edm apparel company dedicated to bringing you music inspired designs. our clothing is perfect for any rave or music festival. we have neon crop tops, tank tops, t-shirts, v-necks and accessories! follow us on facebook or on instagraml for free giveaways news and more! visit our site at oncueapparel.
"
20,0,0,"i think about 100 millions of the views come from people who only wanted to check the views.
"
21,0,1,"subscribe to my channel people.
"
22,1,1,"show your auburn pride here: http//wwwteespringcom/tigermeathoodie.
"
23,0,0,"just checking the views.
"
24,0,1,"check out my channel.
"
25,0,1,"marketglory com/strategygame/andrijamatf earn real money from game.
"
26,0,1,"hey guys! i am a 12 year old music producer. i make chiptunes and 8bit music. it would be wonderful if you checked out some of my 8bit remixes! i even have a gangnamstyle 8bit remix if you would like to check that out. thanks.
"
27,0,1,"check me out! i'm kyle. i rap so yeah.
"
28,0,0,"i don't even watch it anymore i just come here to check on 2 billion or not.
"
29,0,1,"subscribe to me for free android games, apps.
"
30,0,1,"everyone please come check our newest song in memories of martin luther king jr.
"
31,0,0,"came here to check the views, goodbye.
"
32,0,1,"subscribe my channel for no reason.
"
33,0,1,"check out my dubstep song ""fireball"", made with fruity loops. i really took time in it. /watchv=teloa6rio8o.
"
34,0,0,"2 billion. coming soon.
"
35,0,0,"why dafuq is a korean song so big in the usa. does that mean we support koreans? last time i checked they wanted to bomb us.
"
36,0,1,"check my channel please! and listen to the best music ever.
"
37,0,1,"subscribe 4 subscribe please like this comment i want a succesfull youtube so pplease like this comment and subscribe it only takes 10 seconds please if you subscribe ill subscribe back thanks.
"
38,0,1,"hey everyone! i have just started my first yt channel i would be grateful if some of you peoples could check out my first clip in bf4! and give me some advice on how my video was and how i could improve it. also be sure to go check out the about to see what i am all about. thanks for your time. and to haters. you hate, i win.
"
39,1,1,"the projects after effects, music, foto, web sites and another you can find and buy here http//audiojunglenet/user/eugenekalinin/portfolioref=eugenekalinin.
"
40,0,1,"youtube/codytolleson for awesome videos i'll subscribe back.
"
41,0,1,"if you like roblox minecraft world of warcraft gta5 mario suscribe to my channel.
"
42,0,1,"subscribe to me and i'll subscribe to you! must like - czfcxsn0jnq.
"
43,1,1,"http//wwwtwitchtv/jaroadc come follow and watch my stream.
"
